id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10595,"96m2, 3BR, 2BA, Metro, WI-FI etc...",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98888,23.76431,Entire home/apt,73,1,19,2019-04-08,0.20,8,222
10988,"75m2, 2-br, metro, wi-fi, cable TV",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98843,23.76345,Entire home/apt,82,1,31,2017-11-23,0.39,8,0
10990,"50m2, Metro, WI-FI, cableTV, more",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98783,23.76479,Entire home/apt,49,1,29,2019-03-03,0.36,8,234
10993,"Studio, metro, cable tv, wi-fi, etc",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98861,23.76422,Entire home/apt,38,1,45,2019-04-04,0.56,8,226
10995,"47m2, close to metro,cable TV,wi-fi",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.9895,23.76356,Entire home/apt,49,2,17,2019-04-04,0.16,8,249
27262,"54m2, 1-br, cable tv, wi-fi, metro",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98893,23.76475,Entire home/apt,49,1,16,2017-05-15,0.20,8,237
28186,❤️Deluxe central loft near Acropolis❤️,121318,Francis - Fotios,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9768,23.72924,Entire home/apt,49,2,414,2019-04-04,4.93,2,268
31155,sleep on sailing boat,133845,Irene,,ΚΕΡΑΜΕΙΚΟΣ,37.97962,23.71589,Private room,39,1,0,,,1,365
33704,"Artist's studio in Athens, safe area, near metro",145728,Nicole,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99052,23.76593,Entire home/apt,35,2,31,2019-03-04,1.54,1,116
38100,Stay at the heart of Athens (100m²),163481,Alexandros,,ΠΑΓΚΡΑΤΙ,37.97075,23.74259,Entire home/apt,48,3,178,2019-01-02,1.68,2,250
40149,Great View - Heart of Athens  wifi,172333,Athens,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97969,23.729,Entire home/apt,43,2,266,2019-03-26,2.73,3,327
44858,Luxury room near Areos Park & Athens centre,197677,Haris,,ΚΥΨΕΛΗ,37.99674,23.73838,Private room,23,2,169,2018-07-23,1.65,1,363
48635,Athensstay!Welcome home!metroAttiki,221434,Aikaterini,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,38.00087,23.72186,Entire home/apt,21,1,156,2019-03-05,1.82,1,345
49489,3bdr apt in the heart of Athens,225612,Stathis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97692,23.7304,Entire home/apt,135,2,117,2018-11-13,1.26,1,287
